"id","topic_id","ltp","received_at"
1,1,"24785","2025-05-21 08:10:02.554893+00"
2,2,"54989.3","2025-05-21 08:10:02.554893+00"
3,3,"12587.9","2025-05-21 08:10:02.554893+00"
4,2,"54989.2","2025-05-21 08:10:02.554893+00"
5,4,"26302.85","2025-05-21 08:10:02.554893+00"
6,1,"24784.8","2025-05-21 08:10:02.554893+00"
7,4,"26303.35","2025-05-21 08:10:02.554893+00"
8,3,"12587.35","2025-05-21 08:10:02.554893+00"
9,1,"24785.05","2025-05-21 08:10:02.554893+00"
10,4,"26303.35","2025-05-21 08:10:02.554893+00"
11,2,"54989.65","2025-05-21 08:10:02.554893+00"
12,3,"12587.4","2025-05-21 08:10:02.554893+00"
13,1,"24786.15","2025-05-21 08:10:02.554893+00"
14,2,"54985.8","2025-05-21 08:10:02.554893+00"
15,4,"26302.3","2025-05-21 08:10:02.554893+00"
16,3,"12587.75","2025-05-21 08:10:02.554893+00"
17,1,"24786.45","2025-05-21 08:10:02.554893+00"
18,4,"26303.2","2025-05-21 08:10:02.554893+00"
19,2,"54988.5","2025-05-21 08:10:02.554893+00"
20,3,"12588.05","2025-05-21 08:10:02.554893+00"
21,1,"24786.35","2025-05-21 08:10:02.554893+00"
22,4,"26303.1","2025-05-21 08:10:02.554893+00"
23,2,"54987.6","2025-05-21 08:10:02.554893+00"
24,3,"12588.05","2025-05-21 08:10:02.554893+00"
25,1,"24786.4","2025-05-21 08:10:02.554893+00"
26,1,"24787.4","2025-05-21 08:10:02.554893+00"
27,2,"54988.55","2025-05-21 08:10:02.554893+00"
28,4,"26303.4","2025-05-21 08:10:02.554893+00"
29,3,"12588.35","2025-05-21 08:10:02.554893+00"
30,4,"26303.85","2025-05-21 08:10:02.554893+00"
31,2,"54989.45","2025-05-21 08:10:02.554893+00"
32,3,"12589.15","2025-05-21 08:10:02.554893+00"
33,1,"24786.85","2025-05-21 08:10:02.554893+00"
34,4,"26303.8","2025-05-21 08:10:02.554893+00"
35,2,"54988.45","2025-05-21 08:10:02.554893+00"
36,3,"12589.5","2025-05-21 08:10:02.554893+00"
37,1,"24786.7","2025-05-21 08:10:07.64888+00"
38,1,"24785.9","2025-05-21 08:10:07.64888+00"
39,2,"54986.85","2025-05-21 08:10:07.64888+00"
